,X,file_names,include,threshold,trim_s,trim_f
121,121,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_1.41.wav,Y,10,NA,NA
122,122,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_1.44.wav,Y,10,NA,NA
123,123,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_1.48.wav,Y,10,NA,NA
124,124,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_1.52.wav,Y,10,NA,NA
125,125,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_1.56.wav,Y,10,NA,NA
126,126,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_1.59.wav,Y,9,NA,NA
127,127,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_2.05.wav,Y,10,NA,NA
128,128,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_2.09.wav,Y,9,NA,NA
129,129,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_2.14.wav,Y,10,NA,NA
130,130,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_2.22.wav,N,10,NA,NA
131,131,Poecile.sp_Gm.RB_Feb202023_SparrowfootPUA.HenryCO.MO_CS_a_0.06.wav,Y,10,NA,NA
132,132,Poecile.sp_Gm.RB_Feb202023_SparrowfootPUA.HenryCO.MO_CS_a_0.21.wav,Y,10,NA,NA
133,133,Poecile.sp_Gm.RB_Feb202023_SparrowfootPUA.HenryCO.MO_CS_a_0.25.wav,Y,10,NA,NA
134,134,Poecile.sp_Gm.RB_Feb202023_SparrowfootPUA.HenryCO.MO_CS_a_0.40.wav,Y,10,NA,NA
135,135,Poecile.sp_Gm.RB_Feb212023_SparrowfootPUA.HenryCO.MO_SMP_a_0.13.wav,Y,10,NA,NA
136,136,Poecile.sp_Gm.RB_Feb212023_SparrowfootPUA.HenryCO.MO_SMP_a_0.27.wav,Y,10,NA,NA
137,137,Poecile.sp_Gm.RB_Feb212023_SparrowfootPUA.HenryCO.MO_SMP_a_0.32.wav,Y,10,NA,NA
138,138,Poecile.sp_Gm.RB_Feb212023_SparrowfootPUA.HenryCO.MO_SMP_a_0.35.wav,Y,10,NA,NA
139,139,Poecile.sp_Gm.RB_Feb212023_SparrowfootPUA.HenryCO.MO_SMP_a_0.39.wav,Y,10,NA,NA
140,140,Poecile.sp_Gm.RB_Jun092022_SparrowfootPUA.HenryCO.MO_SMP_a_NF_0.03.wav,Y,9,NA,NA
